,Date,Station,AMB_TEMP,CO,NO,NO2,NOx,O3,PM10,PM2.5,RAINFALL,RH,SO2,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR,Average
0,01-01-2018,Annan,16,0.254583333,1.4125,9.5625,11.22916667,22.83333333,48.25,32.20833333,0,75,1.866666667,37.33333333,45.20833333,2.9625,1.2,21
1,02-01-2018,Annan,17.95833333,0.26375,3.716666667,17.70416667,13.825,28.55,113.5,66.66666667,0,70.83333333,2.279166667,118.8333333,100.1041667,2.433333333,0.620833333,38
2,03-01-2018,Annan,17.625,0.501666667,5.179166667,14.08333333,19.22916667,28.30416667,96.125,49.625,0,74.79166667,4.233333333,118.7083333,136.5333333,2.183333333,0.820833333,38
3,04-01-2018,Annan,14.54166667,0.527916667,3.033333333,17.225,20.15416667,19.4375,66.45833333,32.70833333,0,69.83333333,3.941666667,50,64,4.2375,1.429166667,25
4,05-01-2018,Annan,12.91666667,0.474583333,8.708333333,20.25,27.70833333,9.795833333,71.79166667,39.25,0.075,75.5,4.0375,40.42916667,60.70833333,3.1375,1.129166667,26
5,06-01-2018,Annan,17.375,0.321666667,5.891666667,14.41666667,22.91666667,16.19583333,49.75,25.58333333,0,81,2.6375,46.79166667,59.95833333,4.0875,1.541666667,24
6,07-01-2018,Annan,17.75,0.3025,3.554166667,11.41666667,14.925,22.04166667,51.375,26.25,0,79.29166667,2.541666667,39.725,78.7625,3.279166667,1.254166667,24
7,08-01-2018,Annan,18.625,0.31625,2.854166667,11.25416667,14.07083333,23.08333333,62.41666667,29.83333333,0,78,3,39.45,68.29583333,3.295833333,1.095833333,24
8,09-01-2018,Annan,18.83333333,0.289166667,2.85,12.60833333,15.45833333,22.4375,60.16666667,25.25,0,77.66666667,3.479166667,79.04166667,94.42083333,3.25,1.195833333,28
9,10-01-2018,Annan,18.54166667,0.413333333,5.045833333,16.54166667,21.5,22.80833333,75.875,31.70833333,0,75.625,3.841666667,62.67083333,80.13333333,3.041666667,1.1625,28
10,11-01-2018,Annan,17.91666667,0.50625,2.858333333,17.75,20.58333333,24.20833333,93.16666667,49.375,0,68.5,4.104166667,48.95833333,52.95833333,3.829166667,1.441666667,28
11,12-01-2018,Annan,17.625,0.605833333,3.075,17.675,20.70416667,24.72916667,95.45833333,53.54166667,0,71.33333333,4.291666667,109.75,101.0958333,2.404166667,1.05,35
12,13-01-2018,Annan,18.45833333,0.451666667,4.066666667,17.19166667,21.20833333,14.5125,73.58333333,34.45833333,0,83.625,3.454166667,90.0375,59.25,2.633333333,1.079166667,29
13,14-01-2018,Annan,19.75,0.467916667,4.1625,21.29166667,25.29166667,14.09583333,90.75,47.20833333,0,84.08333333,1.695833333,151.075,152.5958333,1.9375,0.970833333,42
14,15-01-2018,Annan,21.33333333,0.466666667,6.8375,16.05416667,22.97083333,19.22916667,80.58333333,39.79166667,0,79.95833333,2.966666667,143.1208333,144.1875,2.25,1.2,39
15,16-01-2018,Annan,17.66666667,0.33375,2.333333333,14.175,16.42916667,19.73333333,32.95833333,16.41666667,0.025,79.20833333,2.1375,75.2,100.7916667,3.7375,1.766666667,26
16,17-01-2018,Annan,17.125,0.397916667,3.358333333,16.30416667,19.6625,21.07083333,62.91666667,27.45833333,0,77.66666667,2.025,46.74166667,64.16666667,3.208333333,1.154166667,25
17,18-01-2018,Annan,19.41666667,0.437083333,4.054166667,21.54166667,25.41666667,23.05416667,89.41666667,35.5,0,78.125,4.529166667,129.225,159.7416667,1.875,1.0125,40
18,19-01-2018,Annan,19.54166667,0.451666667,8.325,19.65,27.99166667,20.4125,95.95833333,43.41666667,0,78.83333333,3.125,93.75,125.125,2.783333333,1.058333333,37
19,20-01-2018,Annan,18.66666667,0.589166667,4.4875,17.95,22.42083333,24.94166667,109.0416667,52.75,0,80.625,2.658333333,94.16666667,121.8041667,2.55,1.179166667,37
20,21-01-2018,Annan,18.625,0.689583333,2.820833333,12.90833333,15.54166667,33.01666667,128.0416667,61.29166667,0,79.66666667,2.654166667,223.3333333,163.9166667,2.458333333,1.15,50
21,22-01-2018,Annan,16.79166667,0.467916667,0.770833333,10.3,10.45416667,23.94583333,49.5,27.125,0.016666667,77.70833333,1.683333333,59.6875,72.32916667,3.8875,1.304166667,24
22,23-01-2018,Annan,14.08333333,0.340416667,1.1875,7.625,8.258333333,26.625,32.45833333,16.125,0.091666667,78.45833333,1.195833333,58.20833333,54.55,3.666666667,1.304166667,21
23,24-01-2018,Annan,16.66666667,0.379583333,1.941666667,8.4875,10.48333333,28.2625,37.125,21.625,0.016666667,76.5,1.9125,90.875,103.4166667,3.208333333,1.1375,27
24,25-01-2018,Annan,14.75,0.495416667,2.691666667,7.341666667,10,31.875,43.95833333,27.58333333,0.025,75.54166667,2.258333333,56.025,71,3.829166667,1.345833333,24
25,26-01-2018,Annan,15.75,0.532083333,2.679166667,9.675,12.27916667,28.35416667,78.54166667,47.375,0,74.5,3.675,110.6416667,111.375,2.725,1.158333333,34
26,27-01-2018,Annan,17.70833333,0.452083333,1.245833333,10.64583333,11.175,27.70833333,85.54166667,45.16666667,0,78.58333333,2.095833333,83.97083333,89.1,2.829166667,1.191666667,31
27,28-01-2018,Annan,18.29166667,0.435833333,4.183333333,13.125,17.25416667,22.34583333,72.625,21.375,0,78.625,2.979166667,87.52083333,72.40833333,2.983333333,1.166666667,28
28,29-01-2018,Annan,18,0.349583333,1.475,9.616666667,11.03333333,29.625,62.33333333,40,0,78.83333333,3.216666667,55.35833333,67.9125,3.816666667,1.308333333,26
29,30-01-2018,Annan,17.33333333,0.342916667,3.375,9.675,13.03333333,35.20833333,82.95833333,20.04166667,0,76.91666667,2.145833333,74.25,80.3875,4.195833333,1.3,29
