,Date,Station,AMB_TEMP,CO,NO,NO2,NOx,O3,PM10,PM2.5,RAINFALL,RH,SO2,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR,Avg
0,01-01-2018,McMug,16.33333333,0.443333333,2.291666667,14.60416667,16.82916667,32.39166667,73,41.29166667,41.29166667,74.04166667,7.875,64.375,64.375,5.975,3.258333333,31
1,02-01-2018,McMug,15.95833333,0.500416667,2.85,13.925,16.875,32.75,98.29166667,63.875,63.875,74.04166667,6.6375,69.33333333,76.85,4.25,2.166666667,37
2,03-01-2018,McMug,16.29166667,0.415833333,4.983333333,12.3125,17.15,28.05,71,44.91666667,44.91666667,79.125,3.4625,69.58333333,64.625,3.954166667,2.041666667,31
3,04-01-2018,McMug,12.5,0.530833333,4.35,14.25416667,18.65416667,20.49166667,67.79166667,29.54166667,29.54166667,74.04166667,8.016666667,62.75,62.41666667,7.7375,4.916666667,28
4,05-01-2018,McMug,12.66666667,0.451666667,4.208333333,16.4,20.66666667,15.9375,32.04166667,20.5,18.01666667,84.29166667,5.579166667,56.66666667,57.83333333,4.708333333,2.841666667,24
5,06-01-2018,McMug,15.5,0.28125,2.558333333,9.220833333,11.75416667,22.75,19.875,9.166666667,9.041666667,90.54166667,2.354166667,59,61.375,4.875,2.695833333,22
6,07-01-2018,McMug,16.91666667,0.21,2.266666667,3.7,5.945833333,36.375,25.5,9.125,9.125,86.41666667,2.4125,64.625,66.45833333,6.975,3.954166667,23
7,08-01-2018,McMug,17.33333333,0.276666667,1.775,5.545833333,7.316666667,31.66666667,39.875,18.5,18.5,88.79166667,2.55,62.29166667,59.79166667,5.408333333,2.9125,25
8,09-01-2018,McMug,17.5,0.24625,2.329166667,6.383333333,8.666666667,35.04166667,34.91666667,14.875,14.875,85.5,3.045833333,65.91666667,64.25,6.954166667,3.829166667,25
9,10-01-2018,McMug,17.70833333,0.343333333,3.283333333,6.354166667,9.6125,36.5,53.95833333,27.33333333,27.33333333,80.91666667,3.116666667,64.83333333,63.25,6.266666667,3.4625,27
10,11-01-2018,McMug,16.625,0.454583333,3.0625,9.5,12.5625,35.5,81.875,45.83333333,45.83333333,73.83333333,5.079166667,68.29166667,73.70833333,7.633333333,4.3375,33
11,12-01-2018,McMug,16.875,0.5325,2.7,8.666666667,11.38333333,34.29166667,64.58333333,40.83333333,38.5,77.79166667,4.920833333,63.41666667,72.125,4.554166667,2.145833333,30
12,13-01-2018,McMug,17.58333333,0.234583333,3.320833333,3.045833333,6.354166667,34.08333333,241.6666667,54.875,13.21666667,90.875,0.945833333,72.95833333,73.75,4.375,1.6875,42
13,14-01-2018,McMug,17.75,0.293333333,2.970833333,6.095833333,9.05,24.29166667,244.0416667,61.04166667,61.04166667,91,1.620833333,62.625,64.79166667,3.104166667,1.220833333,44
14,15-01-2018,McMug,18.08333333,0.345,4.6,7.425,12.01666667,26.98333333,28.5,11.875,11.6,88.29166667,2.645833333,84.29166667,99.375,3.8,1.516666667,27
15,16-01-2018,McMug,15.79166667,0.290833333,6.1125,8.258333333,14.325,25.85833333,15.5,5.666666667,4.8,90.58333333,2.404166667,101,101.6666667,4.245833333,2.5125,27
16,17-01-2018,McMug,16.25,0.284583333,4.620833333,6.4125,11.01666667,31.79166667,41.33333333,14.45833333,14.45833333,85.66666667,2.7125,76.375,76.54166667,4.6375,1.9125,26
17,18-01-2018,McMug,18,0.327916667,4.708333333,8.554166667,13.20833333,36.04166667,62.75,28.91666667,28.91666667,84.29166667,2.5375,82.83333333,106.1666667,2.779166667,0.9375,33
18,19-01-2018,McMug,17.91666667,0.32375,3.341666667,7.529166667,10.87083333,34.25,56.58333333,34.41666667,34.41666667,84.58333333,2.058333333,72.875,73.625,3.8875,1.470833333,30
19,20-01-2018,McMug,17.45833333,0.528333333,3.491666667,7.158333333,10.63333333,38.875,68.125,38.29166667,38.29166667,86.04166667,3.383333333,74.875,98.75,4.795833333,2.0375,33
20,21-01-2018,McMug,16.75,0.63875,4.05,7.191666667,11.30416667,36.29166667,60.41666667,35.625,35.625,86.33333333,2.083333333,84.02916667,82.08333333,4.15,1.670833333,32
21,22-01-2018,McMug,14.66666667,0.368333333,4.441666667,6.333333333,10.79166667,29.66666667,19.75,9.916666667,8.541666667,88.08333333,3.220833333,65.5,67.41666667,6.745833333,3.733333333,23
22,23-01-2018,McMug,13.29166667,0.34625,1.858333333,7.441666667,9.275,27.1375,18.16666667,5.75,5.216666667,82,4.0375,60.25,62.95833333,6.454166667,3.979166667,21
23,24-01-2018,McMug,15.16666667,0.328333333,3.879166667,4.908333333,8.841666667,34.04166667,20.125,9.208333333,8.416666667,84.83333333,2.716666667,65.04166667,67.29166667,4.983333333,2.316666667,23
24,25-01-2018,McMug,13.08333333,0.510833333,2.7875,8.116666667,10.85833333,33.41666667,40.66666667,25.83333333,25.65833333,79.41666667,6.020833333,63.29166667,61.16666667,7.15,4.079166667,26
25,26-01-2018,McMug,14.41666667,0.460833333,2.883333333,7.729166667,10.59166667,35.375,54.375,36.45833333,36.45833333,82.95833333,4.375,69.54166667,77.95833333,3.9375,1.758333333,30
26,27-01-2018,McMug,15.875,0.355,2.7625,4.841666667,7.65,37.16666667,56.25,34.625,34.625,85.75,2.266666667,73.29166667,76.20833333,3.841666667,1.391666667,30
