,DATE,Station,AMB_TEMP,CO,NO,NO2,NOX,O3,PM10,PM25,RAINFALL,RH,SO2,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR,Avg
0,01-01-2018,Newport,16.20833333,0.35875,1.845833333,9.504166667,11.37083333,32.75,68.33333333,42.75,42.75,70.16666667,2.991666667,192.6,210.4166667,3.333333333,0.883333333,48
1,02-01-2018,Newport,15.45833333,0.519583333,2.220833333,13.98333333,16.2375,27.60833333,97.79166667,70.58333333,70.58333333,70.95833333,4.104166667,227.0416667,208.25,2.254166667,0.954166667,56
2,03-01-2018,Newport,16.375,0.49375,5.5375,16.57083333,22.12916667,25.37083333,81.33333333,56.25,56.25,73.875,4.095833333,250,240.875,2.145833333,1.175,57
3,04-01-2018,Newport,12.625,0.532916667,2.029166667,13.54166667,15.57916667,20.79166667,49.875,36.25,36.25,70.08333333,4.541666667,198.4583333,173.8333333,4.775,0.820833333,43
4,05-01-2018,Newport,12,0.45375,3.825,17.78333333,21.58333333,11.88333333,35.70833333,30.75,24.96666667,80.66666667,3.008333333,158.4666667,154.7083333,2.595833333,0.8375,38
5,06-01-2018,Newport,14.95833333,0.387916667,5.504166667,15.57916667,21.04166667,14.48333333,23.33333333,22.08333333,21.3,84.66666667,2.4375,144.6458333,166.875,3.1875,0.625,37
6,07-01-2018,Newport,16.41666667,0.326666667,1.704166667,9.620833333,11.45833333,25.75,32.33333333,18.45833333,18.45833333,79.58333333,2.620833333,127.5833333,149.9583333,3.145833333,0.733333333,34
7,08-01-2018,Newport,17.70833333,0.342916667,2.1375,9.2,11.24583333,25.53333333,39.91666667,26.5,26.5,77.95833333,2.054166667,179.275,184.1666667,3.375,1.0125,41
8,09-01-2018,Newport,17.75,0.33,1.495833333,10.46666667,12.00833333,26.75,36.95833333,22.375,22.375,77.75,2.908333333,186.7833333,180.9875,3.6375,0.933333333,41
9,10-01-2018,Newport,17.29166667,0.425833333,2.216666667,12.775,15,26.57916667,54.16666667,35.70833333,35.70833333,75.04166667,3.529166667,165.2208333,171.7083333,3.429166667,0.85,42
10,11-01-2018,Newport,16.75,0.474583333,1.791666667,10.8625,12.75833333,29.79166667,77.79166667,50.91666667,50.91666667,67.91666667,3.641666667,193.4583333,161.3333333,4.345833333,0.691666667,46
11,12-01-2018,Newport,16.54166667,0.591666667,1.854166667,12.8125,14.64166667,28.875,67.875,54.29166667,54.29166667,72.125,4.016666667,206.9166667,190.0541667,2.429166667,0.879166667,49
12,13-01-2018,Newport,17.5,0.409166667,2.091666667,13.49166667,15.57083333,19.125,47.5,27.08333333,24.625,84.79166667,3.375,236.25,213.2083333,2.308333333,0.8875,48
13,14-01-2018,Newport,18.25,0.477916667,3.745833333,16.70833333,20.5,14.5,56,41.125,37.45,85.41666667,2.0125,229.5791667,246.5833333,1.816666667,0.9875,52
14,15-01-2018,Newport,19.16666667,0.460416667,3.208333333,14.19166667,17.2125,18.6625,41.125,26.41666667,25.4,80.83333333,3.545833333,256.3333333,241.2,2.5875,1.408333333,51
15,16-01-2018,Newport,15.83333333,0.327916667,2.958333333,10.62916667,13.55,24.5,20.25,15.16666667,11.175,82.04166667,2.466666667,178.5,156.8333333,3.6875,1.675,36
16,17-01-2018,Newport,15.70833333,0.379583333,3.8,10.64583333,14.38333333,25.45833333,51.91666667,22.125,22.125,79.70833333,2.166666667,203.5,173.4583333,2.558333333,1.2625,42
17,18-01-2018,Newport,18.20833333,0.45125,3.966666667,15.48333333,19.5125,25.17083333,68.125,39.125,39.125,78.45833333,3.029166667,218.2791667,197.6291667,1.808333333,1.1875,49
18,19-01-2018,Newport,18.25,0.484583333,3.333333333,17.14583333,20.375,19.74166667,65.625,44.29166667,44.29166667,80.125,2.908333333,233.3625,204.8166667,2.804166667,1.15,51
19,20-01-2018,Newport,17.33333333,0.592916667,2.05,14.05,16.12083333,27.8875,71.625,44.29166667,44.29166667,80.04166667,2.883333333,188.5041667,172.4583333,2.295833333,1.304166667,46
20,21-01-2018,Newport,17.29166667,0.709583333,1.879166667,13.425,15.29166667,27.75,82.29166667,50.41666667,50.41666667,79.625,2.675,232.9166667,191.7083333,2.320833333,1.3375,52
21,22-01-2018,Newport,14.625,0.457916667,1.016666667,7.7875,8.775,25.75,21.125,19.83333333,15.7,80.66666667,1.575,195.625,187.7083333,3.995833333,0.804166667,40
22,23-01-2018,Newport,8.7,0.485833333,1.120833333,4.579166667,5.4375,16.99166667,14.24166667,11.24166667,9.383333333,47.325,1.191666667,108.2333333,78.86666667,2.45,0.566666667,21
23,24-01-2018,Newport,15.20833333,0.36375,1.941666667,6.395833333,8.308333333,28.95833333,27.125,20.875,18.3,78.54166667,1.9,211.9583333,185.875,3.1875,1.141666667,41
24,25-01-2018,Newport,13.16666667,0.515833333,1.320833333,6.895833333,8.204166667,33.16666667,36.79166667,31.20833333,30.675,74.95833333,2.5,199.075,201.625,4.045833333,0.779166667,43
25,26-01-2018,Newport,14.25,0.50375,2.670833333,10.2,12.9,28.375,58.16666667,45.5,43,77.29166667,4.133333333,197.8333333,194.9791667,2.35,1.125,47
26,27-01-2018,Newport,16.375,0.45125,2.125,9.2375,11.4125,31,68.45833333,45.16666667,45.16666667,79.91666667,2.583333333,241.9708333,197.7083333,2.6,1.158333333,51
27,28-01-2018,Newport,16.66666667,0.463333333,3.195833333,13.1375,16.34583333,21.62916667,58.79166667,37.16666667,37.16666667,80.66666667,2.916666667,238.7916667,227.9583333,2.791666667,1.233333333,51
28,29-01-2018,Newport,17,0.3575,1.858333333,9.025,10.83333333,31.66666667,40.83333333,22.125,22.125,78.125,2.7875,209.5,206.75,3.870833333,1.120833333,44
29,30-01-2018,Newport,16.41666667,0.337083333,0.9,8.145833333,9.033333333,38.125,61.66666667,37.16666667,37.16666667,76.75,2.654166667,209.5,218.875,4.575,1.229166667,49
30,31-01-2018,Newport,15.66666667,0.357083333,0.979166667,8.7,9.695833333,38.58333333,52.95833333,34.875,34.875,71.41666667,3.095833333,179.1416667,189.3708333,4.133333333,1.175,44
31,01-02-2018,Newport,15.125,0.3875,1.9375,9.020833333,10.94583333,30.3875,54.91666667,34.16666667,34.16666667,78.33333333,2.333333333,271.2916667,244.8416667,2.45,1.4,53
32,02-02-2018,Newport,16.16666667,0.4,1.65,10.89166667,12.48333333,32.625,61.25,33.25,33.25,73,2.170833333,231.9583333,191.8333333,3.916666667,1.3375,48
33,03-02-2018,Newport,14.125,0.382083333,3.208333333,15.9875,19.01666667,18.475,30.41666667,18.58333333,18.58333333,75.16666667,3.170833333,192.25,177.6666667,3.275,0.9125,40
34,04-02-2018,Newport,16.625,0.399583333,3.295833333,14.37083333,17.6625,21.875,46.91666667,27.29166667,27.29166667,76.54166667,3.129166667,211.9208333,219.125,2.5875,1.041666667,47
35,05-02-2018,Newport,18.45833333,0.414583333,2.4625,11.34166667,13.92083333,24.575,61.58333333,45.25,45.25,77.95833333,1.583333333,231.8083333,258.5833333,2.2875,1.3375,54
36,06-02-2018,Newport,22.125,0.517916667,6,14.38333333,20.43333333,19.7125,92.125,50.625,48.59166667,75.58333333,3.020833333,175.6125,192.9166667,2.629166667,2.304166667,49
37,07-02-2018,Newport,16.04166667,0.592916667,1.9,11.93333333,13.7625,21.7125,43.20833333,31.33333333,28.71666667,80.79166667,2.929166667,183.0458333,216.5,3.966666667,0.833333333,44
38,08-02-2018,Newport,10.65,0.33375,1.991666667,10.82083333,12.87083333,22.625,38.91666667,27.20833333,13.50833333,82.70833333,1.975,141.0083333,141.2083333,3.854166667,0.625,35
39,09-02-2018,Newport,12.7375,0.385833333,3.620833333,15.40833333,19.07916667,19.11666667,40.58333333,31.16666667,31.16666667,77.29166667,3.758333333,213.4833333,150.8208333,2.354166667,1.129166667,42
40,10-02-2018,Newport,14.75,0.427916667,3.025,13.7,16.75,19.1125,65.875,46.20833333,46.20833333,83.20833333,2.175,197.1541667,175.2083333,3.075,1.029166667,46
41,11-02-2018,Newport,15.45833333,0.358333333,2.570833333,8.05,10.50833333,26.20833333,45.125,27.41666667,27.41666667,81.5,2.158333333,300.4583333,263.7083333,3.545833333,1.220833333,55
42,12-02-2018,Newport,15.20833333,0.40125,2.8125,7.879166667,10.64166667,24.875,72.25,42.20833333,42.20833333,85.75,1.070833333,235.7083333,216.275,2.658333333,1.283333333,51
43,13-02-2018,Newport,19,0.454166667,3.304166667,11.95833333,15.10833333,29.525,68.66666667,42.91666667,42.91666667,74.41666667,2.408333333,195,177.125,2.566666667,1.0125,46
44,14-02-2018,Newport,19.20833333,0.630833333,4.316666667,18.87916667,23.12083333,22.9125,78.375,61.875,61.875,78.70833333,2.725,293.25,266.2916667,2.0875,1.441666667,63
45,15-02-2018,Newport,18.125,0.692083333,8.279166667,19.58333333,27.91666667,17.53333333,87.54166667,48.29166667,48.29166667,81.66666667,2.845833333,279.2791667,239.8791667,3.0875,1.375,59
46,16-02-2018,Newport,15.79166667,0.328333333,1.691666667,9.183333333,10.7375,34.29166667,49.16666667,28.375,28.375,78.75,1.729166667,213.25,231.9166667,4.4,1.15,48
47,17-02-2018,Newport,13.95833333,0.310833333,1.9125,7.7375,9.704166667,37.375,47.16666667,27.04166667,27.04166667,76.41666667,2.545833333,184.8333333,183.5833333,4.979166667,0.808333333,42
48,18-02-2018,Newport,13.5,0.432083333,2.154166667,9.3125,11.375,36.125,70.91666667,47.29166667,47.29166667,67.79166667,4.0125,149.2083333,157.4583333,4.791666667,1.054166667,42
49,19-02-2018,Newport,13.75,0.35125,2.170833333,9.854166667,11.9875,30.66666667,51.04166667,31.70833333,31.70833333,70.625,3.3375,249.2083333,213.6041667,3.5875,1.204166667,49
50,20-02-2018,Newport,15.125,0.404166667,3.308333333,14.29166667,17.625,25.5375,65.70833333,39.79166667,39.79166667,78.08333333,3.579166667,230.5875,216.725,2.429166667,1.083333333,51
51,21-02-2018,Newport,15.54166667,0.44625,1.479166667,13.15416667,14.68333333,23.875,101.0416667,64.875,47.7,87.16666667,2.170833333,257.525,225.1708333,1.833333333,0.908333333,58
52,22-02-2018,Newport,20.625,0.534166667,3.916666667,16.2375,20.19583333,34,107.6666667,85.375,85.375,78.54166667,3.770833333,231.2083333,211.975,1.370833333,1.016666667,61
53,23-02-2018,Newport,22.83333333,0.466666667,5.318333333,14.52666667,19.59333333,17.24166667,66,65.95833333,53.88333333,81.20833333,5.241666667,222.625,228.7083333,1.929166667,1.441666667,54
54,24-02-2018,Newport,18.375,0.564583333,3.8,16.075,19.80416667,19.32916667,54.75,43.25,35.29166667,85.25,2.045833333,209.875,218.0833333,2.683333333,1.133333333,49
55,25-02-2018,Newport,16.875,0.574166667,2.9125,16.25416667,19.19583333,20.07916667,58.70833333,41.45833333,37.775,82.66666667,2.85,229.375,154.1666667,3.0625,0.916666667,46
56,26-02-2018,Newport,13,0.30625,0.870833333,7.795833333,8.566666667,30.29166667,24.83333333,19.20833333,18.3,80.25,0.866666667,194.5833333,197.8333333,4.1625,0.8125,41
57,27-02-2018,Newport,12.70833333,0.300416667,0.941666667,10.0375,10.94166667,29.66666667,31.91666667,22.83333333,19.025,84.16666667,1.166666667,195.2666667,185.4291667,3.154166667,0.845833333,41
58,28-02-2018,Newport,13.16666667,0.299583333,0.9375,10.63333333,11.62083333,26.91666667,28.08333333,23.25,14.95833333,87.58333333,0.979166667,141.3833333,167.625,3.3375,1.354166667,36
59,29-02-2018,Newport,15.45833333,0.396666667,1.5625,11.09583333,12.60833333,27.70833333,55.58333333,34.66666667,34.66666667,81.25,3.2375,180.9375,208.15,2.375,1.433333333,45
60,01-03-2018,Newport,18.08333333,0.419583333,3.733333333,11.7375,15.35833333,28.08333333,79.29166667,44.91666667,44.91666667,80.875,2.504166667,252.9833333,233.4583333,2.325,1.266666667,55
61,02-03-2018,Newport,20.29166667,0.419583333,4.279166667,13.39583333,17.7,24.71666667,79.45833333,54.70833333,54.70833333,78.79166667,2.945833333,249.25,234.3958333,2.604166667,1.433333333,56
62,03-03-2018,Newport,17.79166667,0.587916667,2.545833333,14.81666667,17.30416667,26.5875,104.7916667,68.45833333,68.45833333,80.91666667,2.625,231.75,245.7916667,3.279166667,1.1625,60
63,04-03-2018,Newport,18.79166667,0.491666667,1.891666667,9.704166667,11.55,31.3625,106.375,67.91666667,67.91666667,81.04166667,1.470833333,263.5416667,194.6541667,2.279166667,1.179166667,58
64,05-03-2018,Newport,24.125,0.436666667,5.226666667,8.430833333,13.57666667,22.09166667,93.70833333,49.75,49.75,71.70833333,2.583333333,177,175.6666667,2.541666667,2.2375,47
65,06-03-2018,Newport,22.95833333,0.514166667,6.126666667,8.189166667,13.79333333,27.50833333,87.75,44.875,44.875,79.16666667,3.6375,262.7916667,276.6666667,2.083333333,1.525,59
66,07-03-2018,Newport,19.5,0.761666667,3.670833333,13.39166667,17,34.83333333,98,57.25,57.25,77.16666667,3.55,216.7208333,204.4166667,3.525,1.270833333,54
